"mac","hostname","oui"
"B04F130BC7E5","CPagan-DT",""
"8CDCD45F8582","NPI5F8582","Hewlett Packard"
"10E7C6FF4FA3","","Hewlett Packard"
"A0CEC8C6CC3F","GG-ENGSVR","Ce Link Limited"
"4CEDFB44CD8C","GG-ZCHAPMAN-PC","AsustekC"
"D05099E29619","","ASRock Incorporation"
"2CB8EDD8B860","","SonicWall"
"3C7C3F1D6DB7","Vig-MM2",""
"28298666B0C1","apc66B0C1","APC by Schneider Electric"
"0007F900DEA8","","Sensapho"
"A0AB1B78B801","DIR-605L","D-Link International"
"8CAE4CE329CA","GG-GHayzen","Plugable Technologies"
"3C2AF4E7435E","BRN3C2AF4E7435E","Brother Industries, LTD."
"A85E4551E5D0","GG-MStanford-PC","ASUSTek COMPUTER INC."
"049226C3BD04","GG-GERICKSON-DT","AsustekC"
"1866DA3BF377","GG-MBaraket-PC","Dell"
"000FE5068BB6","MAC000FE5068BB6","Mercury Security Corporation"
"A85E4551E3C1","GG-MBaraket-PC2","ASUSTek COMPUTER INC."
"74ACB9AE7078","USW_MINI",""
"001CFA5AD242","ALARM","AlarmCom"
"C4F3129A298A","72f620c8-2dea-4971-b6b4-9cb6b0","Texas Instruments"
"D05099D0FDA0","","ASRock Incorporation"
"803F5D014597","DESKTOP-IOBVPMI","Winstars Technology Ltd"
"B039567573AD","","Netgear"
"3C7C3F1D6DB8","Vig-MM2",""
"B04E260C5B75","","Tp-Link Technologies Co.,Ltd."
"F023B9457593","GW-GW8780IP","IEEE Registration Authority"
"B04F130BC824","DESKTOP-BU6OCJH",""
"B07B25212AC3","DESKTOP-V89P6C8",""
